logger,date,temp,Temp.Out,Out.Hum,Wind.Speed,Heat.Index,Rain,Solar.Rad.,Area,Humidity.sensor,Floor,Floor.on.top,Roof.structure,Wall.material,Fan,Evaporative.cooler,Flowing.ventilation,LCZ
X10706834,12/04/16,,34.3,29,1.8,32.5,0,906,Laxmi Nagar,no,4,no,concrete,bricks,0,no,0.5,2
X10706842,12/04/16,29.6,34.3,29,1.8,32.5,0,906,Kasturbha Nagar,no,0,yes,floor on top,bricks,1,yes,1,5
X10706851,12/04/16,36.1,34.3,29,1.8,32.5,0,906,Sarai Kale Khan,no,2,no,stone slab ,bricks,1,yes,0,3
X10706857,12/04/16,30.3,34.3,29,1.8,32.5,0,906,Lodhi Colony,no,1,yes,floor on top,concrete,1,no,1,6
X10706860,12/04/16,36.1,34.3,29,1.8,32.5,0,906,Sarai Kale Khan,no,4,no,tin sheet,bricks,1,no,0,3
X10706861,12/04/16,32,34.3,29,1.8,32.5,0,906,Lodhi Colony,no,2,no,concrete,bricks,0,yes,1,6
X10706867,12/04/16,,34.3,29,1.8,32.5,0,906,Laxmi Nagar,no,0,yes,floor on top,bricks,1,yes,0,2
X10706868,12/04/16,31,34.3,29,1.8,32.5,0,906,Lodhi Colony,no,1,yes,floor on top,concrete,1,no,1,6
X10706869,12/04/16,,34.3,29,1.8,32.5,0,906,Patparganj slum,no,0,no,tin sheet,bricks,1,yes,1,2
X10706877,12/04/16,31,34.3,29,1.8,32.5,0,906,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,1,5
X10706886,12/04/16,33.1,34.3,29,1.8,32.5,0,906,Sarai Kale Khan,no,4,no,stone slab ,bricks,0,no,1,3
X10706887,12/04/16,31.4,34.3,29,1.8,32.5,0,906,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,0,5
X10706888,12/04/16,36.7,34.3,29,1.8,32.5,0,906,Railway Colony,no,3,no,concrete,bricks,1,no,1,2
X10706891,12/04/16,36,34.3,29,1.8,32.5,0,906,Sarai Kale Khan,no,2,no,tin sheet,bricks,1,yes,0,3
X10706892,12/04/16,32.2,34.3,29,1.8,32.5,0,906,Lodhi Colony,no,2,no,concrete,bricks,1,yes,1,6
X10706893,12/04/16,33.9,34.3,29,1.8,32.5,0,906,Railway Colony,no,1,no,stone slab ,bricks,1,no,1,2
X10706895,12/04/16,41,34.3,29,1.8,32.5,0,906,Sarai Kale Khan,no,4,no,tin sheet,bricks,1,no,0,3
X10706896,12/04/16,34.6,34.3,29,1.8,32.5,0,906,Sarai Kale Khan,no,4,no,stone slab ,bricks,1,yes,1,3
X10706897,12/04/16,33.9,34.3,29,1.8,32.5,0,906,Patparganj slum,no,0,no,concrete,bricks,1,no,0,2
X10706898,12/04/16,,34.3,29,1.8,32.5,0,906,Laxmi Nagar,no,4,no,stone slab ,bricks,1,no,0.5,2
X10706899,12/04/16,33.5,34.3,29,1.8,32.5,0,906,Patparganj slum,no,0,no,stone slab ,bricks,0,no,1,2
X10706903,12/04/16,36.4,34.3,29,1.8,32.5,0,906,Patparganj slum,no,1,no,tin sheet,bricks,1,no,1,2
X10706905,12/04/16,31.2,34.3,29,1.8,32.5,0,906,Lodhi Colony,no,0,yes,floor on top,bricks,0,yes,1,6
X10706907,12/04/16,36.1,34.3,29,1.8,32.5,0,906,Sarai Kale Khan,no,4,no,tin sheet,bricks,1,no,0,3
X10706914,12/04/16,,34.3,29,1.8,32.5,0,906,Lodhi Colony,no,3,no,tin sheet ,bricks,0,yes,0.5,6
X10706926,12/04/16,,34.3,29,1.8,32.5,0,906,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,1,5
X10706955,12/04/16,,34.3,29,1.8,32.5,0,906,Lodhi Colony,no,2,no,tin sheet,bricks,0,no,0,6
X10692989,13/04/16,31.7,36.8,52,1.8,35.2,0,966,Railway Colony,yes,4,no,concrete,bricks,1,yes,1,2
X10692990,13/04/16,32,36.8,52,1.8,35.2,0,966,Kasturbha Nagar,yes,1,no,concrete,bricks,1,yes,1,5
X10692993,13/04/16,33,36.8,52,1.8,35.2,0,966,Sarai Kale Khan,yes,3,yes,floor on top,bricks,1,yes,0,3
X10692995,13/04/16,33.5,36.8,52,1.8,35.2,0,966,Lodhi Colony,yes,2,no,concrete,bricks,1,yes,1,6
X10692998,13/04/16,33.9,36.8,52,1.8,35.2,0,966,Patparganj slum,yes,0,yes,floor on top,bricks,1,yes,1,2
X10693000,13/04/16,36.2,36.8,52,1.8,35.2,0,966,Laxmi Nagar,yes,3,no,concrete,bricks,1,yes,1,2
X10706777,13/04/16,32.6,36.8,52,1.8,35.2,0,966,Railway Colony,no,1,no,concrete,bricks,1,no,0,2
X10706780,13/04/16,41.7,36.8,52,1.8,35.2,0,966,Laxmi Nagar,no,4,no,tin sheet,bricks,1,no,0,2
X10706789,13/04/16,,36.8,52,1.8,35.2,0,966,Sarai Kale Khan,no,2,yes,floor on top,bricks,1,yes,1,3
X10706790,13/04/16,35.5,36.8,52,1.8,35.2,0,966,Railway Colony,no,1,no,stone slab ,bricks,1,no,0,2
X10706791,13/04/16,29.7,36.8,52,1.8,35.2,0,966,Railway Colony,no,0,yes,floor on top,bricks,1,no,0.5,2
X10706792,13/04/16,32.8,36.8,52,1.8,35.2,0,966,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,1,5
X10706796,13/04/16,34.7,36.8,52,1.8,35.2,0,966,Laxmi Nagar,no,3,no,concrete,bricks,1,no,1,2
X10706797,13/04/16,35,36.8,52,1.8,35.2,0,966,Patparganj slum,no,0,no,tin sheet ,bricks,1,no,0.5,2
X10706799,13/04/16,36.6,36.8,52,1.8,35.2,0,966,Sarai Kale Khan,no,2,no,stone slab ,bricks,1,no,0.5,3
X10706800,13/04/16,31.2,36.8,52,1.8,35.2,0,966,Laxmi Nagar,no,2,yes,floor on top,bricks,1,no,1,2
X10706802,13/04/16,32.4,36.8,52,1.8,35.2,0,966,Railway Colony,no,3,yes,floor on top,bricks,1,no,0,2
X10706806,13/04/16,36.4,36.8,52,1.8,35.2,0,966,Laxmi Nagar,no,4,no,concrete,bricks,1,yes,0.5,2
X10706809,13/04/16,36.1,36.8,52,1.8,35.2,0,966,Lodhi Colony,no,2,no,tin sheet,cement ,1,yes,0,6
X10706810,13/04/16,33.5,36.8,52,1.8,35.2,0,966,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,0,5
X10706811,13/04/16,35.4,36.8,52,1.8,35.2,0,966,Railway Colony,no,1,no,stone slab ,bricks,1,no,0,2
X10706812,13/04/16,35.2,36.8,52,1.8,35.2,0,966,Lodhi Colony,no,2,no,concrete,bricks,1,yes,1,6
X10706813,13/04/16,33.8,36.8,52,1.8,35.2,0,966,Lodhi Colony,no,2,no,concrete,bricks,1,no,0,6
X10706814,13/04/16,39.2,36.8,52,1.8,35.2,0,966,Sarai Kale Khan,no,1,no,tin sheet,bricks ,1,yes,0.5,3
X10706815,13/04/16,32.8,36.8,52,1.8,35.2,0,966,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,0,5
X10706816,13/04/16,40.3,36.8,52,1.8,35.2,0,966,Patparganj slum,no,0,no,tin sheet,bricks,1,no,0.5,2
X10706817,13/04/16,31.6,36.8,52,1.8,35.2,0,966,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,1,5
X10706827,13/04/16,32.4,36.8,52,1.8,35.2,0,966,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,1,5
X10706833,13/04/16,31.7,36.8,52,1.8,35.2,0,966,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,1,5
X10706834,13/04/16,,36.8,52,1.8,35.2,0,966,Laxmi Nagar,no,4,no,concrete,bricks,0,no,0.5,2
X10706842,13/04/16,30.4,36.8,52,1.8,35.2,0,966,Kasturbha Nagar,no,0,yes,floor on top,bricks,1,yes,1,5
X10706851,13/04/16,37.1,36.8,52,1.8,35.2,0,966,Sarai Kale Khan,no,2,no,stone slab ,bricks,1,yes,0,3
X10706857,13/04/16,30.9,36.8,52,1.8,35.2,0,966,Lodhi Colony,no,1,yes,floor on top,concrete,1,no,1,6
X10706860,13/04/16,37.3,36.8,52,1.8,35.2,0,966,Sarai Kale Khan,no,4,no,tin sheet,bricks,1,no,0,3
X10706861,13/04/16,33,36.8,52,1.8,35.2,0,966,Lodhi Colony,no,2,no,concrete,bricks,0,yes,1,6
X10706867,13/04/16,,36.8,52,1.8,35.2,0,966,Laxmi Nagar,no,0,yes,floor on top,bricks,1,yes,0,2
X10706868,13/04/16,32,36.8,52,1.8,35.2,0,966,Lodhi Colony,no,1,yes,floor on top,concrete,1,no,1,6
X10706869,13/04/16,,36.8,52,1.8,35.2,0,966,Patparganj slum,no,0,no,tin sheet,bricks,1,yes,1,2
X10706877,13/04/16,31.5,36.8,52,1.8,35.2,0,966,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,1,5
X10706886,13/04/16,34.8,36.8,52,1.8,35.2,0,966,Sarai Kale Khan,no,4,no,stone slab ,bricks,0,no,1,3
X10706887,13/04/16,33.4,36.8,52,1.8,35.2,0,966,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,0,5
X10706888,13/04/16,38.2,36.8,52,1.8,35.2,0,966,Railway Colony,no,3,no,concrete,bricks,1,no,1,2
X10706891,13/04/16,38.2,36.8,52,1.8,35.2,0,966,Sarai Kale Khan,no,2,no,tin sheet,bricks,1,yes,0,3
X10706892,13/04/16,32.6,36.8,52,1.8,35.2,0,966,Lodhi Colony,no,2,no,concrete,bricks,1,yes,1,6
X10706893,13/04/16,35,36.8,52,1.8,35.2,0,966,Railway Colony,no,1,no,stone slab ,bricks,1,no,1,2
X10706895,13/04/16,41.4,36.8,52,1.8,35.2,0,966,Sarai Kale Khan,no,4,no,tin sheet,bricks,1,no,0,3
X10706896,13/04/16,32.9,36.8,52,1.8,35.2,0,966,Sarai Kale Khan,no,4,no,stone slab ,bricks,1,yes,1,3
X10706897,13/04/16,35.8,36.8,52,1.8,35.2,0,966,Patparganj slum,no,0,no,concrete,bricks,1,no,0,2
X10706898,13/04/16,,36.8,52,1.8,35.2,0,966,Laxmi Nagar,no,4,no,stone slab ,bricks,1,no,0.5,2
X10706899,13/04/16,34.8,36.8,52,1.8,35.2,0,966,Patparganj slum,no,0,no,stone slab ,bricks,0,no,1,2
X10706903,13/04/16,38.3,36.8,52,1.8,35.2,0,966,Patparganj slum,no,1,no,tin sheet,bricks,1,no,1,2
X10706905,13/04/16,32.4,36.8,52,1.8,35.2,0,966,Lodhi Colony,no,0,yes,floor on top,bricks,0,yes,1,6
X10706907,13/04/16,37.5,36.8,52,1.8,35.2,0,966,Sarai Kale Khan,no,4,no,tin sheet,bricks,1,no,0,3
X10706914,13/04/16,,36.8,52,1.8,35.2,0,966,Lodhi Colony,no,3,no,tin sheet ,bricks,0,yes,0.5,6
X10706926,13/04/16,32,36.8,52,1.8,35.2,0,966,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,1,5
X10706955,13/04/16,,36.8,52,1.8,35.2,0,966,Lodhi Colony,no,2,no,tin sheet,bricks,0,no,0,6
X10692989,14/04/16,32.1,38.8,48,1.3,36.8,0,898,Railway Colony,yes,4,no,concrete,bricks,1,yes,1,2
X10692990,14/04/16,,38.8,48,1.3,36.8,0,898,Kasturbha Nagar,yes,1,no,concrete,bricks,1,yes,1,5
X10692993,14/04/16,33.8,38.8,48,1.3,36.8,0,898,Sarai Kale Khan,yes,3,yes,floor on top,bricks,1,yes,0,3
X10692995,14/04/16,34.4,38.8,48,1.3,36.8,0,898,Lodhi Colony,yes,2,no,concrete,bricks,1,yes,1,6
X10692998,14/04/16,36.7,38.8,48,1.3,36.8,0,898,Patparganj slum,yes,0,yes,floor on top,bricks,1,yes,1,2
X10693000,14/04/16,36.3,38.8,48,1.3,36.8,0,898,Laxmi Nagar,yes,3,no,concrete,bricks,1,yes,1,2
X10706777,14/04/16,33.9,38.8,48,1.3,36.8,0,898,Railway Colony,no,1,no,concrete,bricks,1,no,0,2
X10706780,14/04/16,44.2,38.8,48,1.3,36.8,0,898,Laxmi Nagar,no,4,no,tin sheet,bricks,1,no,0,2
X10706789,14/04/16,,38.8,48,1.3,36.8,0,898,Sarai Kale Khan,no,2,yes,floor on top,bricks,1,yes,1,3
X10706790,14/04/16,36.4,38.8,48,1.3,36.8,0,898,Railway Colony,no,1,no,stone slab ,bricks,1,no,0,2
X10706791,14/04/16,29.7,38.8,48,1.3,36.8,0,898,Railway Colony,no,0,yes,floor on top,bricks,1,no,0.5,2
X10706792,14/04/16,33,38.8,48,1.3,36.8,0,898,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,1,5
X10706796,14/04/16,35,38.8,48,1.3,36.8,0,898,Laxmi Nagar,no,3,no,concrete,bricks,1,no,1,2
X10706797,14/04/16,37,38.8,48,1.3,36.8,0,898,Patparganj slum,no,0,no,tin sheet ,bricks,1,no,0.5,2
X10706799,14/04/16,38.3,38.8,48,1.3,36.8,0,898,Sarai Kale Khan,no,2,no,stone slab ,bricks,1,no,0.5,3
X10706800,14/04/16,32.2,38.8,48,1.3,36.8,0,898,Laxmi Nagar,no,2,yes,floor on top,bricks,1,no,1,2
X10706802,14/04/16,33.3,38.8,48,1.3,36.8,0,898,Railway Colony,no,3,yes,floor on top,bricks,1,no,0,2
X10706806,14/04/16,38,38.8,48,1.3,36.8,0,898,Laxmi Nagar,no,4,no,concrete,bricks,1,yes,0.5,2
X10706809,14/04/16,37.5,38.8,48,1.3,36.8,0,898,Lodhi Colony,no,2,no,tin sheet,cement ,1,yes,0,6
X10706810,14/04/16,33.8,38.8,48,1.3,36.8,0,898,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,0,5
X10706811,14/04/16,35.4,38.8,48,1.3,36.8,0,898,Railway Colony,no,1,no,stone slab ,bricks,1,no,0,2
X10706812,14/04/16,36.2,38.8,48,1.3,36.8,0,898,Lodhi Colony,no,2,no,concrete,bricks,1,yes,1,6
X10706813,14/04/16,35.1,38.8,48,1.3,36.8,0,898,Lodhi Colony,no,2,no,concrete,bricks,1,no,0,6
X10706814,14/04/16,41.7,38.8,48,1.3,36.8,0,898,Sarai Kale Khan,no,1,no,tin sheet,bricks ,1,yes,0.5,3
X10706815,14/04/16,33.3,38.8,48,1.3,36.8,0,898,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,0,5
X10706816,14/04/16,41.9,38.8,48,1.3,36.8,0,898,Patparganj slum,no,0,no,tin sheet,bricks,1,no,0.5,2
X10706817,14/04/16,32.4,38.8,48,1.3,36.8,0,898,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,1,5
X10706827,14/04/16,33.5,38.8,48,1.3,36.8,0,898,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,1,5
X10706833,14/04/16,32.9,38.8,48,1.3,36.8,0,898,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,1,5
X10706834,14/04/16,,38.8,48,1.3,36.8,0,898,Laxmi Nagar,no,4,no,concrete,bricks,0,no,0.5,2
X10706842,14/04/16,30.6,38.8,48,1.3,36.8,0,898,Kasturbha Nagar,no,0,yes,floor on top,bricks,1,yes,1,5
X10706851,14/04/16,38.9,38.8,48,1.3,36.8,0,898,Sarai Kale Khan,no,2,no,stone slab ,bricks,1,yes,0,3
X10706857,14/04/16,31.7,38.8,48,1.3,36.8,0,898,Lodhi Colony,no,1,yes,floor on top,concrete,1,no,1,6
X10706860,14/04/16,40.6,38.8,48,1.3,36.8,0,898,Sarai Kale Khan,no,4,no,tin sheet,bricks,1,no,0,3
X10706861,14/04/16,33.6,38.8,48,1.3,36.8,0,898,Lodhi Colony,no,2,no,concrete,bricks,0,yes,1,6
X10706867,14/04/16,,38.8,48,1.3,36.8,0,898,Laxmi Nagar,no,0,yes,floor on top,bricks,1,yes,0,2
X10706868,14/04/16,32.4,38.8,48,1.3,36.8,0,898,Lodhi Colony,no,1,yes,floor on top,concrete,1,no,1,6
X10706869,14/04/16,,38.8,48,1.3,36.8,0,898,Patparganj slum,no,0,no,tin sheet,bricks,1,yes,1,2
X10706877,14/04/16,31.6,38.8,48,1.3,36.8,0,898,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,1,5
X10706886,14/04/16,,38.8,48,1.3,36.8,0,898,Sarai Kale Khan,no,4,no,stone slab ,bricks,0,no,1,3
X10706887,14/04/16,33.3,38.8,48,1.3,36.8,0,898,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,0,5
X10706888,14/04/16,39.8,38.8,48,1.3,36.8,0,898,Railway Colony,no,3,no,concrete,bricks,1,no,1,2
X10706891,14/04/16,39,38.8,48,1.3,36.8,0,898,Sarai Kale Khan,no,2,no,tin sheet,bricks,1,yes,0,3
X10706892,14/04/16,33,38.8,48,1.3,36.8,0,898,Lodhi Colony,no,2,no,concrete,bricks,1,yes,1,6
X10706893,14/04/16,36.3,38.8,48,1.3,36.8,0,898,Railway Colony,no,1,no,stone slab ,bricks,1,no,1,2
X10706895,14/04/16,43.8,38.8,48,1.3,36.8,0,898,Sarai Kale Khan,no,4,no,tin sheet,bricks,1,no,0,3
X10706896,14/04/16,,38.8,48,1.3,36.8,0,898,Sarai Kale Khan,no,4,no,stone slab ,bricks,1,yes,1,3
X10706897,14/04/16,36.5,38.8,48,1.3,36.8,0,898,Patparganj slum,no,0,no,concrete,bricks,1,no,0,2
X10706898,14/04/16,,38.8,48,1.3,36.8,0,898,Laxmi Nagar,no,4,no,stone slab ,bricks,1,no,0.5,2
X10706899,14/04/16,35,38.8,48,1.3,36.8,0,898,Patparganj slum,no,0,no,stone slab ,bricks,0,no,1,2
X10706903,14/04/16,40,38.8,48,1.3,36.8,0,898,Patparganj slum,no,1,no,tin sheet,bricks,1,no,1,2
X10706905,14/04/16,32.7,38.8,48,1.3,36.8,0,898,Lodhi Colony,no,0,yes,floor on top,bricks,0,yes,1,6
X10706907,14/04/16,39.6,38.8,48,1.3,36.8,0,898,Sarai Kale Khan,no,4,no,tin sheet,bricks,1,no,0,3
X10706914,14/04/16,,38.8,48,1.3,36.8,0,898,Lodhi Colony,no,3,no,tin sheet ,bricks,0,yes,0.5,6
X10706926,14/04/16,32.9,38.8,48,1.3,36.8,0,898,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,1,5
X10706955,14/04/16,,38.8,48,1.3,36.8,0,898,Lodhi Colony,no,2,no,tin sheet,bricks,0,no,0,6
X10692989,15/04/16,33,39.6,39,1.8,38.1,0,897,Railway Colony,yes,4,no,concrete,bricks,1,yes,1,2
X10692990,15/04/16,33.1,39.6,39,1.8,38.1,0,897,Kasturbha Nagar,yes,1,no,concrete,bricks,1,yes,1,5
X10692993,15/04/16,35.1,39.6,39,1.8,38.1,0,897,Sarai Kale Khan,yes,3,yes,floor on top,bricks,1,yes,0,3
X10692995,15/04/16,35.4,39.6,39,1.8,38.1,0,897,Lodhi Colony,yes,2,no,concrete,bricks,1,yes,1,6
X10692998,15/04/16,,39.6,39,1.8,38.1,0,897,Patparganj slum,yes,0,yes,floor on top,bricks,1,yes,1,2
X10693000,15/04/16,37.6,39.6,39,1.8,38.1,0,897,Laxmi Nagar,yes,3,no,concrete,bricks,1,yes,1,2
X10706777,15/04/16,34.9,39.6,39,1.8,38.1,0,897,Railway Colony,no,1,no,concrete,bricks,1,no,0,2
X10706780,15/04/16,45,39.6,39,1.8,38.1,0,897,Laxmi Nagar,no,4,no,tin sheet,bricks,1,no,0,2
X10706789,15/04/16,,39.6,39,1.8,38.1,0,897,Sarai Kale Khan,no,2,yes,floor on top,bricks,1,yes,1,3
X10706790,15/04/16,37,39.6,39,1.8,38.1,0,897,Railway Colony,no,1,no,stone slab ,bricks,1,no,0,2
X10706791,15/04/16,29.8,39.6,39,1.8,38.1,0,897,Railway Colony,no,0,yes,floor on top,bricks,1,no,0.5,2
X10706792,15/04/16,34.5,39.6,39,1.8,38.1,0,897,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,1,5
X10706796,15/04/16,36,39.6,39,1.8,38.1,0,897,Laxmi Nagar,no,3,no,concrete,bricks,1,no,1,2
X10706797,15/04/16,37.6,39.6,39,1.8,38.1,0,897,Patparganj slum,no,0,no,tin sheet ,bricks,1,no,0.5,2
X10706799,15/04/16,38.6,39.6,39,1.8,38.1,0,897,Sarai Kale Khan,no,2,no,stone slab ,bricks,1,no,0.5,3
X10706800,15/04/16,32.6,39.6,39,1.8,38.1,0,897,Laxmi Nagar,no,2,yes,floor on top,bricks,1,no,1,2
X10706802,15/04/16,33.7,39.6,39,1.8,38.1,0,897,Railway Colony,no,3,yes,floor on top,bricks,1,no,0,2
X10706806,15/04/16,38.6,39.6,39,1.8,38.1,0,897,Laxmi Nagar,no,4,no,concrete,bricks,1,yes,0.5,2
X10706809,15/04/16,39.3,39.6,39,1.8,38.1,0,897,Lodhi Colony,no,2,no,tin sheet,cement ,1,yes,0,6
X10706810,15/04/16,34.1,39.6,39,1.8,38.1,0,897,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,0,5
X10706811,15/04/16,37.4,39.6,39,1.8,38.1,0,897,Railway Colony,no,1,no,stone slab ,bricks,1,no,0,2
X10706812,15/04/16,36.6,39.6,39,1.8,38.1,0,897,Lodhi Colony,no,2,no,concrete,bricks,1,yes,1,6
X10706813,15/04/16,35.8,39.6,39,1.8,38.1,0,897,Lodhi Colony,no,2,no,concrete,bricks,1,no,0,6
X10706814,15/04/16,41.9,39.6,39,1.8,38.1,0,897,Sarai Kale Khan,no,1,no,tin sheet,bricks ,1,yes,0.5,3
X10706815,15/04/16,33.2,39.6,39,1.8,38.1,0,897,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,0,5
X10706816,15/04/16,42.1,39.6,39,1.8,38.1,0,897,Patparganj slum,no,0,no,tin sheet,bricks,1,no,0.5,2
X10706817,15/04/16,31.7,39.6,39,1.8,38.1,0,897,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,1,5
X10706827,15/04/16,33.7,39.6,39,1.8,38.1,0,897,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,1,5
X10706833,15/04/16,33.6,39.6,39,1.8,38.1,0,897,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,1,5
X10706834,15/04/16,,39.6,39,1.8,38.1,0,897,Laxmi Nagar,no,4,no,concrete,bricks,0,no,0.5,2
X10706842,15/04/16,30.9,39.6,39,1.8,38.1,0,897,Kasturbha Nagar,no,0,yes,floor on top,bricks,1,yes,1,5
X10706851,15/04/16,39.3,39.6,39,1.8,38.1,0,897,Sarai Kale Khan,no,2,no,stone slab ,bricks,1,yes,0,3
X10706857,15/04/16,32.1,39.6,39,1.8,38.1,0,897,Lodhi Colony,no,1,yes,floor on top,concrete,1,no,1,6
X10706860,15/04/16,40.5,39.6,39,1.8,38.1,0,897,Sarai Kale Khan,no,4,no,tin sheet,bricks,1,no,0,3
X10706861,15/04/16,35.1,39.6,39,1.8,38.1,0,897,Lodhi Colony,no,2,no,concrete,bricks,0,yes,1,6
X10706867,15/04/16,,39.6,39,1.8,38.1,0,897,Laxmi Nagar,no,0,yes,floor on top,bricks,1,yes,0,2
X10706868,15/04/16,33.1,39.6,39,1.8,38.1,0,897,Lodhi Colony,no,1,yes,floor on top,concrete,1,no,1,6
X10706869,15/04/16,,39.6,39,1.8,38.1,0,897,Patparganj slum,no,0,no,tin sheet,bricks,1,yes,1,2
X10706877,15/04/16,32.6,39.6,39,1.8,38.1,0,897,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,1,5
X10706886,15/04/16,37,39.6,39,1.8,38.1,0,897,Sarai Kale Khan,no,4,no,stone slab ,bricks,0,no,1,3
